#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251209    15:26:56       0     35     32      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      0 
 20251209    15:26:56       1     35     35      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      0 
 20251209    15:26:56       2     37     33      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      0 
 20251209    15:26:56       3     34     34      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      2 
 20251209    15:26:56       4     35     35      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      1 
 20251209    15:26:56       5     36     34      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      1 
 20251209    15:26:56       6     35     35      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      0 
 20251209    15:26:56       7     36     32      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      0 
 20251209    15:26:58       0     35     32      -      0      0      0      0      0      0    405    172      0      0     17     18      0      0      1 
 20251209    15:26:58       1     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      1 
 20251209    15:26:58       2     37     33      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      1 
 20251209    15:26:58       3     34     34      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:58       4     35     35      -      0      0      0      0      0      0    405    180      0      0     14     15      0     10      2 
 20251209    15:26:58       5     35     34      -      0      0      0      0      0      0    405    180      0      0     14     15      0     10     10 
 20251209    15:26:58       6     35     35      -      0      0      0      0      0      0    405    180      0      0     14     15      0     11     20 
 20251209    15:26:58       7     36     32      -      0      0      0      0      0      0    405    180      0      0     14     15      0      0      3 
 20251209    15:26:59       0     36     32      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       1     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       2     37     33      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       3     34     34      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       4     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       5     36     34      -      0      0      0      0      0      0    405    187      0      0     17     18      0      0      0 
 20251209    15:26:59       6     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:26:59       7     36     32      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:27:01       0     36     32      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:27:01       1     36     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      5 
 20251209    15:27:01       2     38     33      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      2 
 20251209    15:27:01       3     34     34      -      0      0      0      0      0      0    405    180      0      0     17     18      0      1      0 
 20251209    15:27:01       4     36     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      1      0 
 20251209    15:27:01       5     35     34      -      0      0      0      0      0      0    405    180      0      0     17     18      0      1      2 
 20251209    15:27:01       6     36     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      3      0 
 20251209    15:27:01       7     36     32      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:27:02       0     35     32      -      0      0      0      0      0      0    405    180      0      0     17     18      0      0      0 
 20251209    15:27:02       1     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      1      1 
 20251209    15:27:02       2     56     34      -      0      0      0      0      0      0  12481    690      0      0     42     43      0      7      9 
 20251209    15:27:02       3     52     35      -      0      0      0      0      0      0  12481   2347      0      0     50     51      0      1      5 
 20251209    15:27:02       4     58     36      -      0      0      0      0      0      0  12481   2325      0      0    674    675      0      0      5 
 20251209    15:27:02       5     82     35      -      0      0      0      0      0      0  12481   2385      0      0    674    675      0      2      0 
 20251209    15:27:02       6     35     35      -      0      0      0      0      0      0    405    180      0      0     17     18      0      5      3 
 20251209    15:27:02       7     50     33      -      0      0      0      0      0      0  12481   2055      0      0     56     57      0    103    331 
 20251209    15:27:04       0     86     33      -      0      0      0      0      0      0  12481   2295      0      0    964    965      0      2      0 
 20251209    15:27:04       1     87     36      -      0      0      0      0      0      0  12481   2340      0      0    964    965      0      4  11291 
 20251209    15:27:04       2     91     35      -      0      0      0      0      0      0  12481   2332      0      0   1026   1027      0  21243  25189 
 20251209    15:27:04       3     89     36      -      0      0      0      0      0      0  12481   2347      0      0   1026   1027      0  21742   3526 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   MB/s   MB/s 
 20251209    15:27:04       4     87     36      -      1      0      0      0      0      0  12481   2325      0      0   1026   1027      0      0      0 
 20251209    15:27:04       5    100     35      -      0      0      0      0      0      0  12481   2385      0      0   1026   1027      0      0      0 
 20251209    15:27:04       6     98     37      -     22      0      0      0      0      0  12481   2362      0      0   1026   1027      0      0      0 
 20251209    15:27:04       7     93     34      -     63      0      0      0      0      0  12481   2355      0      0   1026   1027      0      0      0 
 20251209    15:27:05       0     85     33      -      0      0      0      0      0      0  12481   2295      0      0     17     18      0      9      6 
 20251209    15:27:05       1     89     36      -      0      0      0      0      0      0  12481   2340      0      0     17     18      0      7      0 
 20251209    15:27:05       2     89     35      -      0      0      0      0      0      0  12481   2325      0      0     17     18      0      0      1 
 20251209    15:27:05       3     88     36      -      0      0      0      0      0      0  12481   2347      0      0     17     18      0      0      0 
 20251209    15:27:05       4     88     36      -      0      0      0      0      0      0  12481   2325      0      0     17     18      0      0      0 
 20251209    15:27:05       5     89     36      -      0      0      0      0      0      0  12481   2385      0      0     17     18      0      0      0 
 20251209    15:27:05       6     90     37      -      0      0      0      0      0      0  12481   2370      0      0     17     18      0      0      0 
 20251209    15:27:05       7     90     34      -      0      0      0      0      0      0  12481   2370      0      0     17     18      0      0      0 
